Enquete;Tire;xDeb;nbMots;Tour de parole
Nawal7_220618.TextGrid;Nawal;217.979;15;Mh ah et c'est attend comment il s'appelle ton petit frère Ilyes@a ouais.;
Nawal7_220618.TextGrid;Nawal;223.016;5;Ah il a grandi non.;
Nawal7_220618.TextGrid;Nawal;226.529;13;En plus lui il a les cheveux raides il a de beaux cheveux.;
Nawal7_220618.TextGrid;Nawal;230.840;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;231.996;7;Nan arrête de dire beau gosse nan.;
Nawal7_220618.TextGrid;Nawal;235.292;12;Ah toi aussi tu as les mêmes cheveux que Hanane@a donc euh.;
Nawal7_220618.TextGrid;Nawal;239.456;1;xx.;
Nawal7_220618.TextGrid;Nawal;241.433;3;Un lissage brésilien.;
Nawal7_220618.TextGrid;Nawal;243.056;0;.;
Nawal7_220618.TextGrid;Nawal;246.599;4;Tu es par- x.;
Nawal7_220618.TextGrid;Nawal;249.201;5;En bas de chez toi.;
Nawal7_220618.TextGrid;Nawal;250.604;2;Chez les.;
Nawal7_220618.TextGrid;Nawal;254.345;16;Ah j'étais sûre j'allais te dire c'est une ar- c'est une renoi@s.;
Nawal7_220618.TextGrid;Nawal;257.660;11;C- c'est toi qui as acheté le produit ou euh.;
Nawal7_220618.TextGrid;Nawal;262.854;5;Sur internet  je crois x.;
Nawal7_220618.TextGrid;Nawal;266.241;2;Mh x.;
Nawal7_220618.TextGrid;Nawal;269.849;0;.;
Nawal7_220618.TextGrid;Nawal;272.792;4;Tu as payé combien ?;
Nawal7_220618.TextGrid;Nawal;275.559;7;Ouais ma copine l'a acheté euh.;
Nawal7_220618.TextGrid;Nawal;279.213;4;C'est cent vingts ?;
Nawal7_220618.TextGrid;Nawal;284.561;3;Ouais sur Paris.;
Nawal7_220618.TextGrid;Nawal;286.510;6;Ouais sur Paris les magasins xx.;
Nawal7_220618.TextGrid;Nawal;292.293;9;Mh il y a trop de voitures ici non.;
Nawal7_220618.TextGrid;Nawal;295.046;2;Ça va ?;
Nawal7_220618.TextGrid;Nawal;298.594;7;Là c'est xx tu tu vas.;
Nawal7_220618.TextGrid;Nawal;305.072;1;Mh.;
Nawal7_220618.TextGrid;Nawal;315.990;7;Mh et ça te manque pas Paris ?;
Nawal7_220618.TextGrid;Nawal;320.100;6;Tu aimes c'est Paname@s hein.;
Nawal7_220618.TextGrid;Nawal;322.744;2;Les copains.;
Nawal7_220618.TextGrid;Nawal;325.682;1; non.;
Nawal7_220618.TextGrid;Nawal;330.482;2;Ah bon ?;
Nawal7_220618.TextGrid;Nawal;332.964;7;Tu tu t'y sens plus  ouais.;
Nawal7_220618.TextGrid;Nawal;336.643;9;Bah c'est normal là ça fait une semaine.;
Nawal7_220618.TextGrid;Nawal;338.918;1;Et.;
Nawal7_220618.TextGrid;Nawal;340.537;5;Ouais après ça va venir.;
Nawal7_220618.TextGrid;Nawal;343.305;7;Bah après tu vas faire des copains.;
Nawal7_220618.TextGrid;Nawal;347.572;5;Et le le banc là.;
Nawal7_220618.TextGrid;Nawal;349.961;0;;
Nawal7_220618.TextGrid;Nawal;353.011;12;Après tu vas faire hein quand tu quand rentreras au lycée euh.;
Nawal7_220618.TextGrid;Nawal;357.340;7;Ouais bien sûr hein c'est normal.;
Nawal7_220618.TextGrid;Nawal;360.524;5;Bah tu vas en avoir.;
Nawal7_220618.TextGrid;Nawal;364.922;9;Pourquoi tu dis c'est possible c'est sûr.;
Nawal7_220618.TextGrid;Nawal;373.845;11;Ils vont venir ici comme ça tu vas les accueillir hein.;
Nawal7_220618.TextGrid;Nawal;377.024;3;C'est vrai ?;
Nawal7_220618.TextGrid;Nawal;378.123;4;Ah c'est bon.;
Nawal7_220618.TextGrid;Nawal;379.638;1;Ben.;
Nawal7_220618.TextGrid;Nawal;380.648;15;Les vacances d'été j'en suis sûre que ça tu vas pas t'ennuyer.;
Nawal7_220618.TextGrid;Nawal;386.208;5;Ils sont partis au bled@s ?;
Nawal7_220618.TextGrid;Nawal;395.067;3;Le kabyle là ?;
Nawal7_220618.TextGrid;Nawal;401.300;11;Ah oui tu m'as dit celui qui a fait le.;
Nawal7_220618.TextGrid;Nawal;405.052;11;Tu m'as dit sur son stage ou truc comme ça.;
Nawal7_220618.TextGrid;Nawal;409.825;10;Tu m'en as déjà parlé je crois xx ouais.;
Nawal7_220618.TextGrid;Nawal;413.902;31;Tu m'as dit il euh il a fait son stage où ils où ils l'ont pas bien payé ou tu m'as dit ils l'ont payé à  euros.;
Nawal7_220618.TextGrid;Nawal;422.731;1;Mh.;
Nawal7_220618.TextGrid;Nawal;424.780;8;Nan  pourquoi ils sont ils ont q-  pour-.;
Nawal7_220618.TextGrid;Nawal;430.430;3;Nan les kabyles ?;
Nawal7_220618.TextGrid;Nawal;435.599;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;440.014;1;Ah.;
Nawal7_220618.TextGrid;Nawal;442.625;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;450.541;1;Nan.;
Nawal7_220618.TextGrid;Nawal;456.024;3;Il est malade.;
Nawal7_220618.TextGrid;Nawal;469.667;2;Accident travail ?;
Nawal7_220618.TextGrid;Nawal;472.337;1;Ah.;
Nawal7_220618.TextGrid;Nawal;481.606;1;Mh.;
Nawal7_220618.TextGrid;Nawal;503.804;10;Comme si  ouais comme si euh il a pas travaillé.;
Nawal7_220618.TextGrid;Nawal;508.709;3;Comme si euh.;
Nawal7_220618.TextGrid;Nawal;513.814;10;Ah oui moi je pensais que c'était le déménagement.;
Nawal7_220618.TextGrid;Nawal;519.642;1;Récemment ?;
Nawal7_220618.TextGrid;Nawal;535.357;1;Mh.;
Nawal7_220618.TextGrid;Nawal;539.691;0;.;
Nawal7_220618.TextGrid;Nawal;542.677;1;Mh.;
Nawal7_220618.TextGrid;Nawal;547.687;1;Mh;
Nawal7_220618.TextGrid;Nawal;561.498;1;Mh.;
Nawal7_220618.TextGrid;Nawal;566.437;3;Et son scooter ?;
Nawal7_220618.TextGrid;Nawal;580.954;0;.;
Nawal7_220618.TextGrid;Nawal;584.382;12;Ça t'a appris euh t'as appris euh des mots kabyles ;
Nawal7_220618.TextGrid;Nawal;590.274;1;Kabyles.;
Nawal7_220618.TextGrid;Nawal;594.938;1;Ah.;
Nawal7_220618.TextGrid;Nawal;596.377;9;Et qui te les a appris c'est eux ?;
Nawal7_220618.TextGrid;Nawal;599.258;4;Ah d'accord O.K@s.;
Nawal7_220618.TextGrid;Nawal;601.139;7;Et l'arabe tu parles bien toi.;
Nawal7_220618.TextGrid;Nawal;602.843;3;Tu parles couramment ?;
Nawal7_220618.TextGrid;Nawal;606.868;10;Mais là tu parles euh avec Hanane@a tu parles en.;
Nawal7_220618.TextGrid;Nawal;610.571;9;En français tu mélanges temps en temps mais rarement.;
Nawal7_220618.TextGrid;Nawal;614.839;5;Et Ilyes@a tu parles x.;
Nawal7_220618.TextGrid;Nawal;622.514;8;Et c'est quoi langage de du quartier ?;
Nawal7_220618.TextGrid;Nawal;627.125;2; ah bon.;
Nawal7_220618.TextGrid;Nawal;631.723;7;Pourquoi c'est pas le même délire ?;
Nawal7_220618.TextGrid;Nawal;633.573;4;C'est quoi  xx.;
Nawal7_220618.TextGrid;Nawal;644.508;3;Tu habites où ?;
Nawal7_220618.TextGrid;Nawal;646.482;5;Dans le vingtième d'accord.;
Nawal7_220618.TextGrid;Nawal;649.184;9;Et il y a des cités là-bas ou pas.;
Nawal7_220618.TextGrid;Nawal;655.573;7;Ouais mais même dans le vingtième là ?;
Nawal7_220618.TextGrid;Nawal;664.873;12;Mais c'est tranquille euh dans ta cité non je pense xxx.;
Nawal7_220618.TextGrid;Nawal;672.769;2;Ah bon.;
Nawal7_220618.TextGrid;Nawal;675.753;2;Ah bon.;
Nawal7_220618.TextGrid;Nawal;678.688;4;Ah ouais donc euh.;
Nawal7_220618.TextGrid;Nawal;680.652;6;Ah bon avant c'était chaud@s.;
Nawal7_220618.TextGrid;Nawal;683.644;2;Ah bon.;
Nawal7_220618.TextGrid;Nawal;695.168;2;Ah bon.;
Nawal7_220618.TextGrid;Nawal;696.012;4;Je savais pas ça.;
Nawal7_220618.TextGrid;Nawal;711.559;1;Mh.;
Nawal7_220618.TextGrid;Nawal;731.163;3;Ils laissaient personne.;
Nawal7_220618.TextGrid;Nawal;733.560;1;Mh.;
Nawal7_220618.TextGrid;Nawal;738.828;7;Nan ils peuvent agresser n'importe qui ?;
Nawal7_220618.TextGrid;Nawal;742.864;9;Ils peuvent agresser n'importe qui ils veulent agr-.;
Nawal7_220618.TextGrid;Nawal;751.812;4;Il la prend m-.;
Nawal7_220618.TextGrid;Nawal;759.047;7;Et si tu la lui donnes pas ?;
Nawal7_220618.TextGrid;Nawal;762.598;1;Nan.;
Nawal7_220618.TextGrid;Nawal;766.158;3;Et là si.;
Nawal7_220618.TextGrid;Nawal;768.221;3;Et là les.;
Nawal7_220618.TextGrid;Nawal;775.140;0;.;
Nawal7_220618.TextGrid;Nawal;781.234;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;783.132;1;Ouais ?;
Nawal7_220618.TextGrid;Nawal;799.058;0;.;
Nawal7_220618.TextGrid;Nawal;802.773;1;Mh.;
Nawal7_220618.TextGrid;Nawal;818.468;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;835.786;5;Ah c'est chaud@s hein.;
Nawal7_220618.TextGrid;Nawal;840.199;1;xxxx.;
Nawal7_220618.TextGrid;Nawal;841.798;17;Quand ils vont grandir ça va être les gangs de la cité si ils continuent comme ça.;
Nawal7_220618.TextGrid;Nawal;846.868;4;La relève oui exactement.;
Nawal7_220618.TextGrid;Nawal;853.484;17;Et par rapport avant tu penses que le langage euh de la cité a changé ou pas ?;
Nawal7_220618.TextGrid;Nawal;864.628;6;Oui je sais qu'il évolue.;
Nawal7_220618.TextGrid;Nawal;886.940;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;890.124;1;Mh.;
Nawal7_220618.TextGrid;Nawal;901.752;6;C'est des dialectes pour vous.;
Nawal7_220618.TextGrid;Nawal;904.401;5;C'est quatre-vingt-quatorze neuf quatre ;
Nawal7_220618.TextGrid;Nawal;913.880;3;Ah d'accord.;
Nawal7_220618.TextGrid;Nawal;918.160;2;Ouais x.;
Nawal7_220618.TextGrid;Nawal;922.225;5;Et dans le le vingtième ?;
Nawal7_220618.TextGrid;Nawal;928.557;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;932.537;4;Tu es mon ami.;
Nawal7_220618.TextGrid;Nawal;939.511;7;Vous utilisez que le verlan ou euh.;
Nawal7_220618.TextGrid;Nawal;944.688;1;Nan .;
Nawal7_220618.TextGrid;Nawal;947.775;2;Comment ça ?;
Nawal7_220618.TextGrid;Nawal;955.361;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;958.571;6;C'est quoi deutch en allemand.;
Nawal7_220618.TextGrid;Nawal;960.630;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;966.888;3;xx vous dites.;
Nawal7_220618.TextGrid;Nawal;968.869;5;Vous dites ça à qui ?;
Nawal7_220618.TextGrid;Nawal;978.286;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;990.127;7;Ils le comprennent pas c'est ça.;
Nawal7_220618.TextGrid;Nawal;997.902;3;Ah d'accord.;
Nawal7_220618.TextGrid;Nawal;1003.27;7;Mais eux c'est leur code non ?;
Nawal7_220618.TextGrid;Nawal;1019.24;15;Mais au boulot@s tu utilisais pas ça quand même quand tu travaillais à Planet Sushi.;
Nawal7_220618.TextGrid;Nawal;1027.76;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;1044.21;1;Nan .;
Nawal7_220618.TextGrid;Nawal;1050.43;4;Ouais c'est vrai.;
Nawal7_220618.TextGrid;Nawal;1053.99;2;Jeunes voilà.;
Nawal7_220618.TextGrid;Nawal;1057.88;1;Nan.;
Nawal7_220618.TextGrid;Nawal;1080.94;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;1083.42;1;Mh.;
Nawal7_220618.TextGrid;Nawal;1085.35;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;1086.02;7;Ben oui euh ça va venir hein.;
Nawal7_220618.TextGrid;Nawal;1090.43;7;Ouais je m'en doute pas ouais;
Nawal7_220618.TextGrid;Nawal;1093.64;5;Mh ouais c'est xx.;
Nawal7_220618.TextGrid;Nawal;1096.70;42;C'est pas p- c'est pas dur pour toi le fait euh de changer euh de langage comme ça par exemple tu es tu es cinq minutes avec tes potes à l'exterieur tu rentres à la maison tu parles autrement.;
Nawal7_220618.TextGrid;Nawal;1109.40;9;C'est inné genre euh ça devient comme une.;
Nawal7_220618.TextGrid;Nawal;1115.48;1;Mh.;
Nawal7_220618.TextGrid;Nawal;1122.33;0;.;
Nawal7_220618.TextGrid;Nawal;1125.68;3;Des rôles carrément.;
Nawal7_220618.TextGrid;Nawal;1128.18;2;C'est.;
Nawal7_220618.TextGrid;Nawal;1143.12;3;C'est dur.;
Nawal7_220618.TextGrid;Nawal;1146.49;1;Mh.;
Nawal7_220618.TextGrid;Nawal;1147.80;2;Je sais.;
Nawal7_220618.TextGrid;Nawal;1150.81;0;.;
Nawal7_220618.TextGrid;Nawal;1168.47;1;Mh.;
Nawal7_220618.TextGrid;Nawal;1175.27;20;Et avec tes amis rebeus@s tu parles rebeu@s ou tu parles français ou langage des comme tu habites du quartier ?;
Nawal7_220618.TextGrid;Nawal;1193.84;3;Tu fais dahka@s.;
Nawal7_220618.TextGrid;Nawal;1196.57;6;Hein vous dites ça entre vous?;
Nawal7_220618.TextGrid;Nawal;1201.34;1;x ?;
Nawal7_220618.TextGrid;Nawal;1203.42;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;1207.84;3;Vous dites aussi.;
Nawal7_220618.TextGrid;Nawal;1214.50;4;Ils te disent ça.;
Nawal7_220618.TextGrid;Nawal;1216.44;6;Même c'est un feuge@s euh.;
Nawal7_220618.TextGrid;Nawal;1223.06;5;Babtou@s euh y a d-.;
Nawal7_220618.TextGrid;Nawal;1226.98;1;Comment ?;
Nawal7_220618.TextGrid;Nawal;1229.32;3;Ouais je sais.;
Nawal7_220618.TextGrid;Nawal;1231.28;6;Ah ils disent x inchallah@s aussi.;
Nawal7_220618.TextGrid;Nawal;1235.12;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;1236.16;3;Parce qu'ils.;
Nawal7_220618.TextGrid;Nawal;1243.54;1;Mh.;
Nawal7_220618.TextGrid;Nawal;1246.19;2;Des pakpaks@s .;
Nawal7_220618.TextGrid;Nawal;1248.42;9;Ouais  il m'a appris Djamal@a c'est quoi.;
Nawal7_220618.TextGrid;Nawal;1252.78;7;Les c-comment vous l'ap- les poundés ?;
Nawal7_220618.TextGrid;Nawal;1255.60;6;Pourquoi vous les appelez les poundés ?;
Nawal7_220618.TextGrid;Nawal;1259.58;4;C'est péjoratif poundés@s ?;
Nawal7_220618.TextGrid;Nawal;1271.86;1;Nan.;
Nawal7_220618.TextGrid;Nawal;1273.18;5;Quand tu les appelles euh.;
Nawal7_220618.TextGrid;Nawal;1274.92;5; nan c'est bien gentil.;
Nawal7_220618.TextGrid;Nawal;1283.50;2;D'accord.;
Nawal7_220618.TextGrid;Nawal;1286.28;5;D'accord xxx c'est.;
Nawal7_220618.TextGrid;Nawal;1289.75;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;1301.50;4;Tu es une fille.;
Nawal7_220618.TextGrid;Nawal;1303.04;2;Ou pédé@s.;
Nawal7_220618.TextGrid;Nawal;1312.08;10;Le pauvre c'est pour ça qu'ils se fâchent.;
Nawal7_220618.TextGrid;Nawal;1316.21;32;Ah ouais et toi tu te sens à l'aise euh de parler euh langage du quartier ou euh langage que tu parles avec moi ou que tu parles à la maison.;
Nawal7_220618.TextGrid;Nawal;1328.83;3;Tu mélanges hein.;
Nawal7_220618.TextGrid;Nawal;1331.30;3;C'est dissous.;
Nawal7_220618.TextGrid;Nawal;1334.95;43;Ouais  surtout quand te- Ilyes@a s'énerve mais Ilyes@a la dernière fois quand il t- il t'a enervé euh euh quand il est venu chez euh chez Hanane@a tu lui as parlé en langage de jeunes avec Ilyes@a tu as parlé x.;
Nawal7_220618.TextGrid;Nawal;1351.27;22;Et lui aussi il répondait ouais ben oui parce que lui euh il est là-bas aussi il est au collège donc euh.;
Nawal7_220618.TextGrid;Nawal;1357.86;5;Ouais il parle que ça.;
Nawal7_220618.TextGrid;Nawal;1364.99;0;.;
Nawal7_220618.TextGrid;Nawal;1372.19;4;Vas-y tu vas xx.;
Nawal7_220618.TextGrid;Nawal;1375.08;1;Aïe.;
Nawal7_220618.TextGrid;Nawal;1380.67;1; oui.;
Nawal7_220618.TextGrid;Nawal;1383.63;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;1386.95;4;Si tu parles autrement.;
Nawal7_220618.TextGrid;Nawal;1400.02;2;C'est-à-dire.;
Nawal7_220618.TextGrid;Nawal;1404.71;15;Oui je sais mais euh c'est-à-dire tu tu vas parler langage des jeunes maintenant.;
Nawal7_220618.TextGrid;Nawal;1422.85;2;La chkai@s .;
Nawal7_220618.TextGrid;Nawal;1426.30;8;C'est ça vient d'où la chkai@s?;
Nawal7_220618.TextGrid;Nawal;1432.30;5;Et vous le dites ça ?;
Nawal7_220618.TextGrid;Nawal;1434.65;6;Ça veut dire quoi les chicots@s.;
Nawal7_220618.TextGrid;Nawal;1438.31;2;La ch-.;
Nawal7_220618.TextGrid;Nawal;1439.49;6;Les chicots@s c'est les dents.;
Nawal7_220618.TextGrid;Nawal;1445.23;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;1449.14;7;Mais je pense pas que nous ts-.;
Nawal7_220618.TextGrid;Nawal;1452.69;3;Mh ben oui.;
Nawal7_220618.TextGrid;Nawal;1454.33;14;Ah ouais il va te dire il va plus comprendre va faire un dictionnaire.;
Nawal7_220618.TextGrid;Nawal;1476.98;0;.;
Nawal7_220618.TextGrid;Nawal;1478.92;14;Bien ouais et j'ai entendu aussi vous appelez les filles euh mon frère.;
Nawal7_220618.TextGrid;Nawal;1489.85;0;.;
Nawal7_220618.TextGrid;Nawal;1507.41;4;Là dans le vingtième ?;
Nawal7_220618.TextGrid;Nawal;1511.84;7;Oui j'ai vu dans le quatre-vingt-quatorze.;
Nawal7_220618.TextGrid;Nawal;1515.40;1;Ah.;
Nawal7_220618.TextGrid;Nawal;1517.49;3;x une fille.;
Nawal7_220618.TextGrid;Nawal;1519.97;2;Imagine je.;
Nawal7_220618.TextGrid;Nawal;1524.23;1;Mh.;
Nawal7_220618.TextGrid;Nawal;1526.15;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;1527.48;1;Non .;
Nawal7_220618.TextGrid;Nawal;1535.68;0;.;
Nawal7_220618.TextGrid;Nawal;1557.71;7;Et tu lui réponds comment vas-y xx.;
Nawal7_220618.TextGrid;Nawal;1565.49;0;.;
Nawal7_220618.TextGrid;Nawal;1572.62;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;1585.25;2;Ben oui.;
Nawal7_220618.TextGrid;Nawal;1600.94;3;Il va croire.;
Nawal7_220618.TextGrid;Nawal;1602.25;12;Il va cr- il va croire qu'il est avec un mec@s.;
Nawal7_220618.TextGrid;Nawal;1605.53;1;x.;
Nawal7_220618.TextGrid;Nawal;1607.54;1;Nan.;
Nawal7_220618.TextGrid;Nawal;1611.80;3;Elles frappent l-.;
Nawal7_220618.TextGrid;Nawal;1614.16;5;C'est des femmes celles-là.;
Nawal7_220618.TextGrid;Nawal;1639.85;5;Ouais oui je sais ouais.;
Nawal7_220618.TextGrid;Nawal;1649.74;1;Mh.;
Nawal7_220618.TextGrid;Nawal;1659.83;5;Sa meuf@s qui le gifle ?;
Nawal7_220618.TextGrid;Nawal;1663.95;3;Ouais après x.;
Nawal7_220618.TextGrid;Nawal;1667.51;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;1685.24;1;Mh.;
Nawal7_220618.TextGrid;Nawal;1689.55;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;1691.81;1;Nan.;
Nawal7_220618.TextGrid;Nawal;1705.25;3;Elle l'insulte.;
Nawal7_220618.TextGrid;Nawal;1713.85;1;Mh.;
Nawal7_220618.TextGrid;Nawal;1719.77;2;Ben oui.;
Nawal7_220618.TextGrid;Nawal;1721.36;5;On parle pas comme ça;
Nawal7_220618.TextGrid;Nawal;1726.82;1;Mh.;
Nawal7_220618.TextGrid;Nawal;1734.65;16;Parce que elles trainent beaucoup avec des des mecs@s euh qu'elles parlent comme ça ou.;
Nawal7_220618.TextGrid;Nawal;1741.15;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;1744.34;6;Non mais moi je pense euh.;
Nawal7_220618.TextGrid;Nawal;1746.79;1;Mo-.;
Nawal7_220618.TextGrid;Nawal;1749.24;4;Ouais les grosses mh.;
Nawal7_220618.TextGrid;Nawal;1761.07;1;Mh.;
Nawal7_220618.TextGrid;Nawal;1781.38;2;Ouais ouais.;
Nawal7_220618.TextGrid;Nawal;1782.14;3;Tu vas tom-.;
Nawal7_220618.TextGrid;Nawal;1786.80;1;Mh.;
Nawal7_220618.TextGrid;Nawal;1793.62;24;Mais tu penses pas que ces filles euh qui essayent d'im- mh d'imiter de les garçons pour en fait euh se cacher.;
Nawal7_220618.TextGrid;Nawal;1803.28;7;Bah vu que c'est la cité.;
Nawal7_220618.TextGrid;Nawal;1813.70;7;Ou pour se protéger aussi hein non ?;
Nawal7_220618.TextGrid;Nawal;1817.70;22;Parce que le fait d'être une fille euh féminine dans une cité ben tous les mecs euh vont en fait euh.;
Nawal7_220618.TextGrid;Nawal;1826.57;10;Là ils voudront la la la draguer ou lui parler.;
Nawal7_220618.TextGrid;Nawal;1833.42;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;1844.96;1;Mh.;
Nawal7_220618.TextGrid;Nawal;1848.16;9;Toi si tu avais une petite soeur euh xx.;
Nawal7_220618.TextGrid;Nawal;1853.66;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;1857.61;1;Mh.;
Nawal7_220618.TextGrid;Nawal;1867.95;5;Ouais c'est un x.;
Nawal7_220618.TextGrid;Nawal;1870.37;3;C'est vrai.;
Nawal7_220618.TextGrid;Nawal;1875.59;3;C'est vrai.;
Nawal7_220618.TextGrid;Nawal;1882.57;1;Mh.;
Nawal7_220618.TextGrid;Nawal;1885.82;1;Mh.;
Nawal7_220618.TextGrid;Nawal;1902.39;7;Elle était là dans le vingtième euh ?;
Nawal7_220618.TextGrid;Nawal;1907.18;14;Ben elle va revenir là de du Brésil ou pas xx combien de temps?;
Nawal7_220618.TextGrid;Nawal;1913.35;19;Et qu'est-ce qu'elle fait là-bas elle fait des études ou elle travaille en une formation du xx.;
Nawal7_220618.TextGrid;Nawal;1920.95;4;Ah c'est bien.;
Nawal7_220618.TextGrid;Nawal;1923.85;6;Ca c'est bien euh x.;
Nawal7_220618.TextGrid;Nawal;1928.14;7;Ouais elle veut profiter de son père.;
Nawal7_220618.TextGrid;Nawal;1931.84;10;Mouais c'est vrai que et elle a quel âge ?;
Nawal7_220618.TextGrid;Nawal;1937.92;5;Elle est jeune quand même.;
Nawal7_220618.TextGrid;Nawal;1940.14;8;Et toi tu vingt-trois vingt tu as vingt ?;
Nawal7_220618.TextGrid;Nawal;1945.59;2;Ah ouais.;
